service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
UC,0,0,0,0,1,0,1,20250806,20251213
UC#1,0,0,0,0,1,0,1,20250806,20251130
UH,1,1,1,1,1,0,0,20250806,20251213
UH#1,1,1,1,1,1,0,0,20250806,20251213
UH#2,1,1,1,1,1,0,0,20250806,20251128
UH#3,1,1,1,1,1,0,0,20250806,20251213
UH#4,1,1,1,1,1,0,0,20250806,20251130
UH#5,1,1,1,1,1,0,0,20250806,20251213
UH+01,1,1,1,1,1,0,0,20250806,20251213
UH+01#1,1,1,1,1,1,0,0,20250806,20251213
UH+01#2,1,1,1,1,1,0,0,20250806,20251128
UH+01#3,1,1,1,1,1,0,0,20250806,20251213
UH+01#4,1,1,1,1,1,0,0,20250806,20251130
UH+14,1,1,1,1,1,0,0,20250806,20251213
UH+14#1,1,1,1,1,1,0,0,20250806,20251213
UH+14#2,1,1,1,1,1,0,0,20250806,20251130
UH+f8,1,1,1,1,1,0,0,20250806,20251213
UH+f8#1,1,1,1,1,1,0,0,20250806,20251213
UH+f8#2,1,1,1,1,1,0,0,20250806,20251130
UR,0,0,0,0,0,1,0,20250806,20251213
UR#1,0,0,0,0,0,1,0,20250806,20251213
UR#2,0,0,0,0,0,1,0,20250806,20251128
UR#3,0,0,0,0,0,1,0,20250806,20251213
UR#4,0,0,0,0,0,1,0,20250806,20251130
UR+b7,0,0,0,0,0,1,0,20250806,20251213
UR+b7#1,0,0,0,0,0,1,0,20250806,20251128
UR+b7#2,0,0,0,0,0,1,0,20250806,20251213
