from_stop_id,to_stop_id,transfer_type,min_transfer_time
de:09373:17000:53:10,de:09373:17000:53:6,2,180
de:09373:17000:53:10,de:09373:17000:53:7,2,180
de:09373:17000:53:10,de:09373:17000:53:8,2,180
de:09373:17000:53:10,de:09373:17000:53:9,2,180
de:09373:17000:53:6,de:09373:17000:53:10,2,180
de:09373:17000:53:6,de:09373:17000:53:7,2,180
de:09373:17000:53:6,de:09373:17000:53:8,2,180
de:09373:17000:53:6,de:09373:17000:53:9,2,180
de:09373:17000:53:7,de:09373:17000:53:10,2,180
de:09373:17000:53:7,de:09373:17000:53:6,2,180
de:09373:17000:53:7,de:09373:17000:53:8,2,180
de:09373:17000:53:7,de:09373:17000:53:9,2,180
de:09373:17000:53:8,de:09373:17000:53:10,2,180
de:09373:17000:53:8,de:09373:17000:53:6,2,180
de:09373:17000:53:8,de:09373:17000:53:7,2,180
de:09373:17000:53:8,de:09373:17000:53:9,2,180
de:09373:17000:53:9,de:09373:17000:53:10,2,180
de:09373:17000:53:9,de:09373:17000:53:6,2,180
de:09373:17000:53:9,de:09373:17000:53:7,2,180
de:09373:17000:53:9,de:09373:17000:53:8,2,180
de:09373:17013:0:1,de:09373:17013:0:2,2,180
de:09373:17013:0:1,de:09373:17054:0:1,2,180
de:09373:17013:0:1,de:09373:17054:0:2,2,180
de:09373:17013:0:2,de:09373:17013:0:1,2,180
de:09373:17013:0:2,de:09373:17054:0:1,2,180
de:09373:17013:0:2,de:09373:17054:0:2,2,180
de:09373:17030:0:1,de:09373:17080:0:1,2,120
de:09373:17030:0:1,de:09373:17080:0:2,2,120
de:09373:17030:0:2,de:09373:17080:0:1,2,120
de:09373:17030:0:2,de:09373:17080:0:2,2,120
de:09373:17054:0:1,de:09373:17013:0:1,2,180
de:09373:17054:0:1,de:09373:17013:0:2,2,180
de:09373:17054:0:2,de:09373:17013:0:1,2,180
de:09373:17054:0:2,de:09373:17013:0:2,2,180
de:09373:17080:0:1,de:09373:17030:0:1,2,120
de:09373:17080:0:1,de:09373:17030:0:2,2,120
de:09373:17080:0:1,de:09373:17080:0:2,2,120
de:09373:17080:0:2,de:09373:17030:0:1,2,120
de:09373:17080:0:2,de:09373:17030:0:2,2,120
de:09373:17080:0:2,de:09373:17080:0:1,2,120
